id;name;PIBperinh
UKE3;South Yorkshire;25962,042894615
UKM6;Highlands and Islands;25106,2386980108
AT13;Wien;43514,3259938624
AT11;Burgenland (A);21627,3539430555
AT12;Niederösterreich;26629,6605682983
AT21;Kärnten;27817,6523481702
AT22;Steiermark;28200,814481369
CH04;Zürich;53241,3874204472
AT31;Oberösterreich;31880,1592689983
AT32;Salzburg;37293,1747673216
AT33;Tirol;34230,0427534912
AT34;Vorarlberg;34117,6438291482
BE10;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;60684,7262694976
BE21;Prov. Antwerpen;37129,3154648147
BE22;Prov. Limburg (B);26296,1554216162
BE23;Prov. Oost-Vlaanderen;28603,5502873943
BE24;Prov. Vlaams Brabant;33510,7894119246
BE25;Prov. West-Vlaanderen;30061,6645052964
BE31;Prov. Brabant Wallon;30451,3307779517
BE32;Prov. Hainaut;20543,0152203663
BE33;Prov. Liège;23311,6990989236
BE34;Prov. Luxembourg (B);21391,5414008837
BE35;Prov. Namur;21780,0222086094
BG31;Severozapaden;2539,0393190797
BG32;Severen tsentralen;2652,8834303685
BG33;Severoiztochen;3237,8876129914
BG34;Yugoiztochen;3064,1344041577
BG41;Yugozapaden;6196,171468983
BG42;Yuzhen tsentralen;2708,7890876335
CH01;Région lémanique;41687,805937893
CH02;Espace Mittelland;36105,6793386722
CH03;Nordwestschweiz;47808,2218462974
DE30;Berlin;24953,6065559804
CH05;Ostschweiz;38154,3070050026
CH06;Zentralschweiz;40948,1695870714
CH07;Ticino;32032,4702709858
CY00;Chypre;20484,5611313447
CZ01;Praha;26700,871793059
CZ02;Strední Cechy;11699,5985548656
CZ03;Jihozápad;10979,7618153161
CZ04;Severozápad;9543,6784656347
CZ05;Severovýchod;10164,1750124986
CZ06;Jihovýchod;11069,7673287078
CZ07;Strední Morava;9589,8865851368
CZ08;Moravskoslezsko;10379,4955534744
DE11;Stuttgart;36065,7415775782
DEC0;Saarland;29106,5572434711
DE12;Karlsruhe;33737,0988859874
DE13;Freiburg;29152,2165551542
DE14;Tübingen;31960,1757538339
DED3;Leipzig;22543,1223842787
DE21;Oberbayern;42154,306781407
DE22;Niederbayern;29527,9020287816
DE23;Oberpfalz;31122,1493116802
DE24;Oberfranken;28763,1621022818
DE25;Mittelfranken;33778,6154796563
DE26;Unterfranken;29931,7724512586
DE27;Schwaben;30848,5060142246
DE41;Brandenburg - Nordost;19359,9497972649
DE42;Brandenburg - Südwest;22203,6512320218
DE50;Bremen;40398,8680364891
DE60;Hamburg;49168,7863631026
DE71;Darmstadt;39827,3903457971
DE72;Gießen;27334,80024169
DE73;Kassel;29309,9847377299
DE80;Mecklenburg-Vorpommern;20580,3204007193
DE91;Braunschweig;28324,2050072604
DE92;Hannover;28251,3205629155
DE93;Lüneburg;21321,9741411607
DE94;Weser-Ems;25783,8059052725
DEA1;Düsseldorf;32509,0677267133
DEA2;Köln;30094,632000728
DEA3;Münster;25046,461518257
DEA4;Detmold;27846,7308959516
DEA5;Arnsberg;27039,9838382197
DEB1;Koblenz;24822,0040569666
DEB2;Trier;24016,1762168513
DEB3;Rheinhessen-Pfalz;27106,8883328671
DED1;Chemnitz;20941,2858746614
DED2;Dresden;22291,1640357875
DEE0;Sachsen-Anhalt;21185,3040416711
UKC1;Tees Valley and Durham;23482,0044773549
DEF0;Schleswig-Holstein;25376,3424167347
DEG0;Thüringen;21055,4098842995
DK01;Hovedstaden;51653,0023846051
DK02;Sjælland;31413,34954014
DK03;Syddanmark;38923,6327939507
DK04;Midtjylland;39717,197261265
DK05;Nordjylland;37753,9984609305
FI18;Etelä-Suomi;39179,3949711641
EE00;Estonie;11641,0125379076
ES11;Galicia;19864,790200869
ES12;Principado de Asturias;21663,2531834236
ES13;Cantabria;23679,4526721444
ES21;Pais Vasco;30649,6220992498
ES22;Comunidad Foral de Navarra;29743,2560261373
ES23;La Rioja;25260,0782357128
ES24;Aragón;25749,5861757624
ES30;Comunidad de Madrid;30862,8564036214
ES41;Castilla y León;22698,0016619968
FR26;Bourgogne;25889,7319343824
ES42;Castilla-la Mancha;18402,0597456821
ES43;Extremadura;16198,522178033
ES51;Cataluña;27839,8624308216
ES52;Comunidad Valenciana;21567,2048382281
ES53;Illes Balears;25776,6868262676
ES61;Andalucia;18298,1856284332
ES62;Región de Murcia;19706,711837304
ES63;Ciudad Autónoma de Ceuta (ES);21799,5835720574
ES64;Ciudad Autónoma de Melilla (ES);21360,0568417313
ES70;Canarias (ES);20948,3177350138
FI13;Itä-Suomi;25491,0654163747
FI19;Länsi-Suomi;30253,7840568854
FI1A;Pohjois-Suomi;29513,9680169738
FI20;Åland;41340,1181146232
FR10;Île de France;46336,5125521754
FR21;Champagne-Ardenne;27302,2433215104
FR22;Picardie;23491,41265259
FR23;Haute-Normandie;26966,7906266032
FR24;Centre;26136,1761101167
FR25;Basse-Normandie;24212,6028702044
SK04;Východné Slovensko;6918,6670555915
FR30;Nord - Pas-de-Calais;24149,633138025
FR41;Lorraine;24301,2358320786
FR42;Alsace;28064,0613644125
FR43;Franche-Comté;24717,1112421041
FR51;Pays de la Loire;26874,7950521939
FR52;Bretagne;26031,5714446872
FR53;Poitou-Charentes;24816,356091
FR61;Aquitaine;26993,6430659274
HU32;Észak-Alföld;6306,8857162151
FR62;Midi-Pyrénées;26771,8984017059
FR63;Limousin;24050,1708952905
FR71;Rhône-Alpes;30095,983174301
FR72;Auvergne;25065,5778956384
FR81;Languedoc-Roussillon;23577,9246896563
FR82;Provence-Alpes-Côte d'Azur;28101,6814298476
FR83;Corse;23291,4116888195
FR91;Guadeloupe (FR);18869,1542366825
FR92;Martinique (FR);20601,9158725769
FR93;Guyane (FR);13613,04223329
FR94;Réunion (FR);17233,1940154161
GR11;Anatoliki Makedonia, Thraki;13534,1441523044
HU33;Dél-Alföld;6694,8237672949
GR12;Kentriki Makedonia;15830,8101936744
GR13;Dytiki Makedonia;16514,4420548281
GR14;Thessalia;14866,3426653316
GR21;Ipeiros;14957,5347182371
HR01;Sjeverozapadna Hrvatska;12008,7558725124
GR22;Ionia Nisia;16221,0741149022
GR23;Dytiki Ellada;13046,5640474475
GR24;Sterea Ellada;18271,4789169022
GR25;Peloponnisos;16484,8460406122
GR30;Attiki;28034,0318654438
GR41;Voreio Aigaio;14496,5014446771
GR42;Notio Aigaio;21021,3951963276
GR43;Kriti;18278,8530098318
HR02;Sredisnja i Istocna (Panonska) Hrvatska;6819,1461110416
HR03;Jadranska Hrvatska;9471,815672942
HU10;Közép-Magyarország;16594,2719650445
HU21;Közép-Dunántúl;9329,5155640917
HU22;Nyugat-Dunántúl;9858,2994533507
HU23;Dél-Dunántúl;6831,8250821297
HU31;Észak-Magyarország;6404,6167578016
IE01;Border, Midlands and Western;29474,0144704957
TR10;Istanbul;10444,60072056
NL34;Zeeland;31934,5487612255
IE02;Southern and Eastern;49306,2085078497
IS00;Islande;48268,9357497595
ITC1;Piemonte;28733,0443564506
ITC2;Valle d'Aosta/Vallée d'Aoste;29965,067461462
ITC3;Liguria;26878,2830538138
ITC4;Lombardia;34082,0293164035
ITD1;Provincia Autonoma Bolzano-Bozen;34057,6574877018
NL13;Drenthe;27270,838775229
ITD2;Provincia Autonoma Trento;30867,9959765694
ITD3;Veneto;30785,238838819
ITD4;Friuli-Venezia Giulia;29449,893699664
ITD5;Emilia-Romagna;32384,9041878509
ITE1;Toscana;28524,7337221508
ITE2;Umbria;24539,3010274157
ITE3;Marche;26683,1933900051
ITE4;Lazio;30951,295649179
ITF1;Abruzzo;21562,1199315619
ITF2;Molise;19617,3384904741
ITF3;Campania;16596,5278841599
ITF4;Puglia;16825,6029862386
NL12;Friesland (NL);28247,813406539
ITF5;Basilicata;18872,4553470266
ITF6;Calabria;16595,6641769083
ITG1;Sicilia;16631,1165487742
NL33;Zuid-Holland;35899,4262679166
ITG2;Sardegna;19765,6683598051
LI00;Liechtenstein;90963,3757961783
LT00;Lituanie;8442,54698617
LU00;Luxembourg (Grand-Duché);78674,9743273126
LV00;Lettonie;9253,9138782408
MK00;Poranesna jugoslovenska Republika Makedonija (provisional code);2836,5168239435
MT00;Malte;13378,7793335132
NL11;Groningen;43297,4090590537
NL21;Overijssel;30176,2670932859
NL22;Gelderland;29852,5713483024
NL23;Flevoland;28334,187979403
NL31;Utrecht;41007,7574071648
NL32;Noord-Holland;39519,033167883
NL41;Noord-Brabant;35335,0623924678
NL42;Limburg (NL);31297,0770656275
NO01;Oslo og Akershus;83069,822668686
NO02;Hedmark og Oppland;49577,0843813638
NO03;Sør-Østlandet;49983,8805001822
NO04;Agder og Rogaland;58722,6515429544
