CODE;NOM;X;Y;GOUV;CAP;AGG;NIV;DTUN;DPORT;DCAP;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS1110;Carthage ;289,1801;779,443;TS111;1;Tunis;(6) plus de 1 000 000;16,9;8,9;1,0;20715;20715;6432;3265;2379;21127;8,302;0,513
TS1111;La Medina ;274,3319;773,8342;TS111;0;Tunis;(6) plus de 1 000 000;1,0;16,2;16,9;26703;4733;8265;2771;42243;25757;1,523;0,418
TS1112;Bab El Bhar ;275,6247;774,3254;TS111;0;Tunis;(6) plus de 1 000 000;2,4;15,2;15,5;39806;39806;16125;6812;12701;36753;5,721;1,000
TS1113;Bab Souika ;273,7847;774,7392;TS111;0;Tunis;(6) plus de 1 000 000;2,1;17,0;17,1;33284;33284;9629;2548;7199;31762;2,218;0,922
TS1114;El Omrane ;273,0474;776,2263;TS111;0;Tunis;(6) plus de 1 000 000;3,7;18,3;17,5;40801;40801;9779;3645;4446;41702;4,922;0,420
TS1115;El Omrane Supérieur ;270,4797;778,5712;TS111;0;Tunis;(6) plus de 1 000 000;7,1;21,7;19,7;62138;62138;15679;8805;6375;65237;3,374;0,462
TS1116;Ettahrir ;270,1699;777,0314;TS111;0;Tunis;(6) plus de 1 000 000;6,2;21,3;20,2;21956;21956;6027;3790;2758;22980;1,809;0,501
TS1117;El Menzah ;273,6044;778,1093;TS111;0;Tunis;(6) plus de 1 000 000;5,3;18,8;16,6;43320;43320;13707;5995;6856;46346;10,732;0,654
TS1118;Cité El Khadhra ;278,5714;778,4046;TS111;0;Tunis;(6) plus de 1 000 000;7,2;14,0;11,7;36818;36818;11035;6755;4073;38860;19,758;0,791
TS1119;Le Bardo ;270,3454;775,4391;TS111;0;Tunis;(6) plus de 1 000 000;5,3;20,5;20,3;70244;70244;19594;8507;12838;68560;6,795;0,476
TS111A;Sijoumi ;273,6623;772,7043;TS111;0;Tunis;(6) plus de 1 000 000;2,3;16,4;17,9;36171;36171;7190;1944;4285;34361;2,044;0,317
TS111B;Ezzouhour ;270,9052;773,5385;TS111;0;Tunis;(6) plus de 1 000 000;4,4;19,3;20,2;40434;40434;9601;3915;6335;39198;2,842;0,380
TS111C;El Hrairia ;264,1705;773,3484;TS111;0;Tunis;(6) plus de 1 000 000;11,2;25,9;26,7;96245;96245;22466;10600;3513;98606;24,253;0,422
TS111D;Sidi Hassine ;266,0072;767,994;TS111;0;Tunis;(6) plus de 1 000 000;11,2;23,8;26,8;79381;79381;18458;10625;1699;85425;67,351;0,397
TS111E;El Ouardia ;275,9198;769,7927;TS111;0;Tunis;(6) plus de 1 000 000;5,3;13,8;17,4;33734;33734;8462;2356;6430;32936;4,171;0,401
TS111F;El Kabaria ;277,2563;768,2751;TS111;0;Tunis;(6) plus de 1 000 000;7,3;12,6;17,3;81261;81261;20040;10131;3153;83516;14,339;0,428
TS111G;Sidi El Béchir ;275,2048;772,4462;TS111;0;Tunis;(6) plus de 1 000 000;2,6;14,9;16,6;29911;29911;8694;3246;2778;27517;2,697;0,545
TS111H;Djebel Djelloud ;277,7917;769,8104;TS111;0;Tunis;(6) plus de 1 000 000;6,3;11,9;15,9;26490;26490;5724;1550;2285;26056;5,326;0,356
TS111I;La Goulette ;287,2684;776,0638;TS111;0;Tunis;(6) plus de 1 000 000;14,1;5,0;4,9;28407;28407;8638;3981;2765;28986;11,98;0,610
TS111J;Le Kram ;284,4207;779,1791;TS111;0;Tunis;(6) plus de 1 000 000;12,4;9,2;5,8;58152;58152;16803;7522;3212;60927;10,348;0,480
TS111K;La Marsa ;286,7848;783,7319;TS111;0;Tunis;(6) plus de 1 000 000;16,9;12,7;5,9;77890;77890;23237;7386;5026;82057;31,571;0,588
TS1120;L Ariana Ville  ;273,8463;781,0903;TS112;1;Tunis;(6) plus de 1 000 000;8,3;19,3;1,0;97687;97687;32121;16961;15426;109500;18,612;0,638
TS1121;Soukra ;278,8923;783,6502;TS112;0;Tunis;(6) plus de 1 000 000;11,8;16,3;6,7;89151;89151;25163;19129;2832;107829;27,895;0,557
TS1122;Raoued ;273,9186;788,8873;TS112;0;Tunis;(6) plus de 1 000 000;16,1;23,5;8,8;60896;53911;17499;14053;1443;77419;57,08;0,531
TS1123;Kalaât El Andalous ;269,8599;799,4472;TS112;0;;(2) 10 à 20 000;27,0;33,4;19,8;23045;15313;4778;728;528;24367;188,206;0,383
TS1124;Sidi Thabet ;261,2769;787,2263;TS112;0;;(1) moins de 10 000;19,7;33,3;15,0;19404;8909;4802;1298;723;20231;97,08;0,358
TS1125;Cité Ettadhamen ;266,7281;777,9012;TS112;0;Tunis;(6) plus de 1 000 000;9,6;24,7;8,8;78311;78311;18367;5651;5245;82922;3,376;0,386
TS1126;El Mnihla ;266,8617;781,2457;TS112;0;Tunis;(6) plus de 1 000 000;11,5;26,1;8,0;53752;40176;14370;7258;985;69247;22,907;0,466
TS1130;Ben Arous  ;279,4702;767,4516;TS113;1;Tunis;(6) plus de 1 000 000;9,2;10,8;1,0;32329;32329;8800;3963;9381;30378;6,644;0,489
TS1131;La Nouvelle Medina ;281,5814;766,168;TS113;0;Tunis;(6) plus de 1 000 000;11,6;9,8;3,5;42603;42603;11110;6070;2295;45884;8,114;0,468
TS1132;El Mourouj ;278,1386;765,2702;TS113;0;Tunis;(6) plus de 1 000 000;10,4;13,0;3,6;81986;81986;23444;21829;5773;113339;16,099;0,557
TS1133;Hammam Lif ;290,1537;764,0915;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;19,6;12,9;12,2;38401;38401;11549;3130;4802;38631;11,516;0,439
TS1134;Hammam Chôtt ;293,1596;761,224;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;23,7;17,0;16,0;24847;24847;7168;4997;1551;29153;26,187;0,456
TS1135;Bou Mhel El Bassatine ;286,675;763,0187;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;17,4;12,1;9,5;27977;27977;7831;5831;1135;35185;20,057;0,510
TS1136;Ezzahra ;285,6486;765,8165;TS113;0;Hammam-Lif;(5) 100 000 à 1 000 000;14,9;9,1;7,4;31792;31792;9783;5508;3991;33665;7,081;0,523
TS1137;Radès ;284,7318;769,8022;TS113;0;Tunis;(6) plus de 1 000 000;12,2;5,0;6,8;44857;44857;13465;7221;3708;48087;19,213;0,504
