id;name;stock;symbolsize
FR10;"Île de France";537451;261592,023302978
ITC4;Lombardia;325328;203524,070962037
UKI1;"Inner London";288090;191522,212926531
ES51;Cataluña;197254;158477,63033223
ES30;"Comunidad de Madrid";186800;154220,993044568
FR71;Rhône-Alpes;182561;152461,104720645
DE21;Oberbayern;180383;151548,925696609
ITE4;Lazio;170025;147133,461045948
DEA1;Düsseldorf;169604;146951,189088507
IE02;"Southern and Eastern";155745;140819,278827431
DE71;Darmstadt;150265;138319,680519306
ITD3;Veneto;146955;136787,76162236
ES61;Andalucia;144874;135815,7965054
DE11;Stuttgart;144457;135620,192048901
UKI2;"Outer London";139751;133392,840743529
ITD5;Emilia-Romagna;136770;131962,48426482
FR82;"Provence-Alpes-Côte d'Azur";136687;131922,436928377
DEA2;Köln;131955;129618,796524859
TR10;Istanbul;129792,16;128552,133669027
ITC1;Piemonte;125070;126191,945012361
NL33;Zuid-Holland;124036;125669,22462193
GR30;Attiki;113046;119972,76256473
ITE1;Toscana;103779;114950,218230793
NL32;Noord-Holland;103266;114665,755492484
ES52;"Comunidad Valenciana";102644;114319,901954907
FI18;Etelä-Suomi;102412;114190,633703215
DEA5;Arnsberg;101188;113506,195008317
UKJ1;"Berkshire, Bucks and Oxfordshire";97787;111582,380043185
FR30;"Nord - Pas-de-Calais";97122;111202,325094293
ITF3;Campania;96097;110613,968616271
SE11;Stockholm;93818;109294,458966575
FR51;"Pays de la Loire";93594;109163,905183876
UKJ2;"Surrey, East and West Sussex";92667;108621,953992723
DE12;Karlsruhe;92246;108374,930239258
NO01;"Oslo og Akershus";87870,76;105773,591438474
DE60;Hamburg;86251;104794,171580748
NL41;Noord-Brabant;85477;104322,910506431
FR61;Aquitaine;85054;104064,458984758
DE30;Berlin;84943;103996,531984696
DK01;Hovedstaden;84543;103751,381113961
UKK1;"Gloucestershire, Wiltshire and Bristol/Bath area";83955;103389,954046919
ITG1;Sicilia;83436;103069,886317257
FR52;Bretagne;81226;101695,700627243
UKG3;"West Midlands";78879;100215,698395593
UKD3;"Greater Manchester";77501;99336,4676020442
FR62;Midi-Pyrénées;75244;97879,3319879394
UKH1;"East Anglia";73285;96596,7701509302
AT13;Wien;72288;95937,4484806717
DEF0;Schleswig-Holstein;71923;95694,9360081228
ITF4;Puglia;68478;93374,995338353
